feature,importance
efficiency_power_interaction,0.4682989
building_efficiency_score,0.11194439
power_quantile_encoded,0.10581047
floor,0.044224203
building_avg_power,0.037752103
power_category_encoded,0.017166955
day_of_week,0.008868683
occupancy_change_rate,0.0075991596
power_rolling_std_3h,0.0073598535
season_temp_interaction,0.0071607954
occupancy_lag_24h,0.0069601242
occupancy_rolling_std_3h,0.0067103985
occupancy_trend,0.0063946215
occupancy_rolling_mean_12h,0.0058233924
power_rolling_mean_6h,0.0055708005
occupancy_rolling_std_12h,0.005512835
occupancy_rolling_std_6h,0.005454716
day_of_year,0.005306157
feels_like_temp,0.005242002
power_rolling_std_12h,0.0051901806
power_change_rate,0.0051699355
occupancy_lag_1h,0.00497179
power_trend,0.004944547
temperature_squared,0.004905627
occupancy_rolling_mean_6h,0.0048774853
temp_category_encoded,0.0047628856
temp_occupancy_interaction,0.0046330984
occupancy_lag_6h,0.004620454
occupancy_lag_3h,0.0046189064
power_rolling_std_6h,0.0046075103
temp_humidity_interaction,0.004442498
power_rolling_std_24h,0.004433918
humidity,0.0043283273
hour_occupancy_interaction,0.004296783
occupancy,0.0042448896
business_occupancy_interaction,0.004223874
power_rolling_mean_3h,0.004215287
occupancy_rolling_mean_24h,0.0041135717
occupancy_rolling_std_24h,0.004034809
occupancy_lag_2h,0.003909932
power_rolling_mean_24h,0.0038532165
occupancy_lag_12h,0.0037614799
occupancy_rolling_mean_3h,0.0037356392
cooling_degree_days,0.0037221825
hour,0.003694374
heating_degree_days,0.0033282307
comfort_zone,0.0029924905
temperature,0.0029085954
power_rolling_mean_12h,0.0027688988
occupancy_level_encoded,0.0023612573
month,0.0015021259
week_of_year,0.0005472246
season_encoded,0.0001173071
occupancy_binary,0.0
is_ground_floor,0.0
time_period_encoded,0.0
room_type_encoded,0.0
building_id_encoded,0.0
is_weekend,0.0
is_business_hour,0.0
is_peak_hour,0.0
is_night,0.0
temperature_cubed,0.0
floor_height_factor,0.0
is_top_floor,0.0
building_power_std,0.0
building_floor_area,0.0
