,RMSE,MAE,R2,MAPE,CV_R2_mean,CV_R2_std
Linear_Regression,13.105830464136805,9.897204497854958,0.6388744570120238,inf,0.4752748395746469,0.20136595845774627
Ridge_Regression,13.105719013758932,9.897459746082342,0.6388805989207269,inf,0.47549656975425725,0.2014894894187117
Lasso_Regression,12.940096649980266,9.706005055149163,0.6479501555690098,inf,0.5192627608569376,0.21024569715333805
Random_Forest,4.217987487255621,0.7875428652968128,0.9625941359881952,3.1931881026220648,0.9533823650044588,0.022548777048953153
Gradient_Boosting,6.614041813327087,2.1921701759455474,0.9080264417169915,inf,0.886405575158211,0.059950103497062875
XGBoost,5.998032582834885,1.7663758421411573,0.924360829447968,inf,0.9134456452046853,0.04508093557282243
LightGBM,4.985684636977221,1.2589682476642017,0.9477388785139925,inf,0.9343468529384884,0.03184224174985903
SVM,10.827549656770529,5.542831344581796,0.7535155734125926,inf,0.6911755456975468,0.17291180553332638
Tuned_XGBoost,5.632461274239956,1.648317935408408,0.9333000443112958,inf,0.9271444085183879,0.03546218135047747
